                               96 macb r/rrwxrwxrwx 0        0        93793-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93794-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93794-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809/eventbeacons.dat ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93795-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987
                               78 macb d/drwxrwxrwx 0        0        93795-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93796-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93796-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93797-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93797-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279987/eventbeacons.dat ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93798-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289
                               78 macb d/drwxrwxrwx 0        0        93798-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93799-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93799-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93800-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289/eventbeacons.dat
